Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
1106,,,,,,delta_rise=0.5_fall=0.75,3,4,2.449489742783178
1106,,,,,,delta_rise=0.5_fall=1.0,3,4,2.449489742783178
1106,,,,,,delta_rise=0.75_fall=0.0,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.75_fall=0.25,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.75_fall=0.5,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.75_fall=0.75,3,4,2.449489742783178
1106,,,,,,delta_rise=0.75_fall=1.0,3,4,2.449489742783178
1106,,,,,,delta_rise=1.0_fall=0.0,8,1.5,1
1106,,,,,,delta_rise=1.0_fall=0.25,8,1.5,1
1106,,,,,,delta_rise=1.0_fall=0.5,8,1.5,1
1106,,,,,,delta_rise=1.0_fall=0.75,8,1.5,1
1106,,,,,,delta_rise=1.0_fall=1.0,8,1.5,1
1106,,,,,,simdrop,2,4,1.632993161855452
1107,0.27558315300636893,0.12582294872694777,6.250971190381285,0.8870680140580611,14,delta_rise=0.0_fall=0.0,8,1.5555555555555556,0.6849348892187752
1107,,,,,,delta_rise=0.0_fall=0.25,8,1.5555555555555556,0.6849348892187752
1107,,,,,,delta_rise=0.0_fall=0.5,5,2.3333333333333335,2.134374745810949
1107,,,,,,delta_rise=0.0_fall=0.75,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=0.0_fall=1.0,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=0.25_fall=0.0,8,1.5555555555555556,0.6849348892187752
1107,,,,,,delta_rise=0.25_fall=0.25,8,1.5555555555555556,0.6849348892187752
1107,,,,,,delta_rise=0.25_fall=0.5,5,2.3333333333333335,2.134374745810949
1107,,,,,,delta_rise=0.25_fall=0.75,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=0.25_fall=1.0,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=0.5_fall=0.0,9,1.5555555555555556,0.6849348892187752
1107,,,,,,delta_rise=0.5_fall=0.25,9,1.5555555555555556,0.6849348892187752
1107,,,,,,delta_rise=0.5_fall=0.5,6,2.3333333333333335,2.134374745810949
1107,,,,,,delta_rise=0.5_fall=0.75,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=0.5_fall=1.0,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=0.75_fall=0.0,10,1.4,0.663324958
1107,,,,,,delta_rise=0.75_fall=0.25,10,1.4,0.663324958
1107,,,,,,delta_rise=0.75_fall=0.5,6,2.3333333333333335,2.134374745810949
1107,,,,,,delta_rise=0.75_fall=0.75,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=0.75_fall=1.0,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=1.0_fall=0.0,10,1.4,0.663324958
1107,,,,,,delta_rise=1.0_fall=0.25,10,1.4,0.663324958
1107,,,,,,delta_rise=1.0_fall=0.5,6,2.3333333333333335,2.134374745810949
1107,,,,,,delta_rise=1.0_fall=0.75,2,4.666666666666667,3.858612300930075
1107,,,,,,delta_rise=1.0_fall=1.0,2,4.666666666666667,3.858612300930075
1107,,,,,,simdrop,4,2.8,1.326649916
1108,0.355562305,0.19851890216142118,7.695540374768741,0.9948381261127636,11,delta_rise=0.0_fall=0.0,5,1.8333333333333333,1.0671873729054748
1108,,,,,,delta_rise=0.0_fall=0.25,4,2.2,1.166190379
1108,,,,,,delta_rise=0.0_fall=0.5,4,2.2,1.166190379
1108,,,,,,delta_rise=0.0_fall=0.75,2,3.6666666666666665,1.8856180831641267
1108,,,,,,delta_rise=0.0_fall=1.0,2,3.6666666666666665,1.8856180831641267
1108,,,,,,delta_rise=0.25_fall=0.0,6,1.5714285714285714,1.049781318335648
1108,,,,,,delta_rise=0.25_fall=0.25,6,1.5714285714285714,1.049781318335648
1108,,,,,,delta_rise=0.25_fall=0.5,6,1.5714285714285714,1.049781318335648
1108,,,,,,delta_rise=0.25_fall=0.75,2,3.6666666666666665,1.8856180831641267
1108,,,,,,delta_rise=0.25_fall=1.0,2,3.6666666666666665,1.8856180831641267
