Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
1104.0,,,,,,,,delta_rise=0.5_fall=0.25,9,1.6,1.0198039027185568
1104.0,,,,,,,,delta_rise=0.5_fall=0.5,9,1.6,1.0198039027185568
1104.0,,,,,,,,delta_rise=0.5_fall=0.75,8,1.7777777777777777,1.1331154474650633
1104.0,,,,,,,,delta_rise=0.5_fall=1.0,2,5.333333333333333,3.0912061651652345
1104.0,,,,,,,,delta_rise=0.75_fall=0.0,9,1.6,1.0198039027185568
1104.0,,,,,,,,delta_rise=0.75_fall=0.25,9,1.6,1.0198039027185568
1104.0,,,,,,,,delta_rise=0.75_fall=0.5,9,1.6,1.0198039027185568
1104.0,,,,,,,,delta_rise=0.75_fall=0.75,8,1.7777777777777777,1.1331154474650633
1104.0,,,,,,,,delta_rise=0.75_fall=1.0,2,5.333333333333333,3.0912061651652345
1104.0,,,,,,,,delta_rise=1.0_fall=0.0,10,1.4545454545454546,0.9875254992000196
1104.0,,,,,,,,delta_rise=1.0_fall=0.25,10,1.4545454545454546,0.9875254992000196
1104.0,,,,,,,,delta_rise=1.0_fall=0.5,10,1.4545454545454546,0.9875254992000196
1104.0,,,,,,,,delta_rise=1.0_fall=0.75,10,1.4545454545454546,0.9875254992000196
1104.0,,,,,,,,delta_rise=1.0_fall=1.0,8,1.7777777777777777,2.199887763691481
1104.0,,,,,,,,multimodal_alpha=0.0,1,8.0,4.0
1104.0,,,,,,,,multimodal_alpha=0.1,3,4.0,0.7071067811865476
1104.0,,,,,,,,multimodal_alpha=0.2,3,4.0,0.7071067811865476
1104.0,,,,,,,,multimodal_alpha=0.30000000000000004,3,4.0,0.7071067811865476
1104.0,,,,,,,,multimodal_alpha=0.4,3,4.0,0.7071067811865476
1104.0,,,,,,,,multimodal_alpha=0.5,3,4.0,0.7071067811865476
1104.0,,,,,,,,multimodal_alpha=0.6000000000000001,4,3.2,1.469693845669907
1104.0,,,,,,,,multimodal_alpha=0.7000000000000001,4,3.2,1.469693845669907
1104.0,,,,,,,,multimodal_alpha=0.8,3,4.0,1.8708286933869707
1104.0,,,,,,,,multimodal_alpha=0.9,3,4.0,1.8708286933869707
1104.0,,,,,,,,multimodal_alpha=1.0,3,4.0,2.1213203435596424
1104.0,,,,,,,,simdrop,3,4.0,2.1213203435596424
1105.0,0.19826821081911944,0.0952496972592758,6.84586302611809,0.9743752391959614,0.21838571428571427,0.136878893291009,9.0,delta_rise=0.0_fall=0.0,5,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.0_fall=0.25,5,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.0_fall=0.5,4,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.0_fall=0.75,4,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.0_fall=1.0,2,3.0,2.160246899469287
1105.0,,,,,,,,delta_rise=0.25_fall=0.0,5,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.25_fall=0.25,5,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.25_fall=0.5,4,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.25_fall=0.75,4,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.25_fall=1.0,2,3.0,2.160246899469287
1105.0,,,,,,,,delta_rise=0.5_fall=0.0,5,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.5_fall=0.25,5,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.5_fall=0.5,4,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.5_fall=0.75,4,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.5_fall=1.0,2,3.0,2.160246899469287
1105.0,,,,,,,,delta_rise=0.75_fall=0.0,6,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.75_fall=0.25,6,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=0.75_fall=0.5,5,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.75_fall=0.75,5,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=0.75_fall=1.0,2,3.0,2.160246899469287
1105.0,,,,,,,,delta_rise=1.0_fall=0.0,6,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=1.0_fall=0.25,6,1.5,0.7637626158259734
1105.0,,,,,,,,delta_rise=1.0_fall=0.5,5,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=1.0_fall=0.75,5,1.8,1.1661903789690604
1105.0,,,,,,,,delta_rise=1.0_fall=1.0,2,3.0,2.160246899469287
1105.0,,,,,,,,multimodal_alpha=0.0,1,4.5,3.5
1105.0,,,,,,,,multimodal_alpha=0.1,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=0.2,2,3.0,1.632993161855452
